epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
67,3903.4,0.48281,0.31877,0.82312,0.96143,0.9604,0.97912,0.82072,0.60271,0.31107,0.87751,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
68,3958.66,0.48172,0.31557,0.82194,0.97115,0.96687,0.98254,0.82593,0.60059,0.31076,0.87235,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789,0.023367,0.007789
69,4013.9,0.47628,0.31289,0.82396,0.95878,0.96872,0.97959,0.82376,0.59489,0.30771,0.87632,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756,0.023268,0.007756
70,4068.65,0.47971,0.31273,0.82155,0.96557,0.96146,0.97684,0.82202,0.59318,0.31743,0.86939,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
71,4123.71,0.46517,0.30794,0.82174,0.97391,0.96368,0.97726,0.82108,0.60993,0.31269,0.8793,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,4178.77,0.46887,0.3097,0.82246,0.94464,0.96853,0.97595,0.82057,0.60003,0.33034,0.87504,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,4233.73,0.46372,0.30747,0.8224,0.96284,0.96099,0.98027,0.83001,0.59133,0.3065,0.87273,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,4288.85,0.45826,0.30022,0.81904,0.96093,0.9715,0.97818,0.82829,0.5924,0.30933,0.86941,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,4343.98,0.46138,0.30785,0.82182,0.95889,0.96816,0.97716,0.8204,0.59572,0.31211,0.8724,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,4399.22,0.46211,0.30175,0.81801,0.95057,0.96593,0.9768,0.82439,0.59482,0.32949,0.87832,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,4454.08,0.44916,0.29924,0.81631,0.95701,0.95816,0.97292,0.82052,0.59036,0.32644,0.87264,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,4509.01,0.45692,0.29586,0.81957,0.95712,0.96725,0.98025,0.82926,0.59604,0.30845,0.87018,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,4564.08,0.44568,0.29604,0.81481,0.96374,0.96564,0.97589,0.82035,0.58992,0.30493,0.86759,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,4619.31,0.4476,0.29093,0.81762,0.95261,0.96326,0.97815,0.82237,0.59295,0.30715,0.86809,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,4674.46,0.44772,0.29456,0.8183,0.97253,0.97065,0.97858,0.82737,0.59588,0.29972,0.87179,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,4729.82,0.44115,0.29144,0.81924,0.96547,0.97395,0.97684,0.82794,0.58428,0.30218,0.86563,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,4784.87,0.44653,0.29246,0.81688,0.96995,0.96556,0.9792,0.82635,0.58816,0.3063,0.86768,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,4839.9,0.44065,0.28944,0.8172,0.96721,0.96533,0.97867,0.82765,0.59438,0.30975,0.87492,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,4895.01,0.43762,0.28579,0.81837,0.97186,0.96633,0.97908,0.8302,0.58712,0.29754,0.87217,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,4950.09,0.43714,0.28685,0.817,0.95797,0.96588,0.98013,0.82689,0.58622,0.31992,0.87086,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,5004.97,0.43909,0.29069,0.81712,0.96751,0.96779,0.98053,0.82212,0.59895,0.29963,0.88056,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,5060.19,0.43252,0.28913,0.81757,0.96495,0.96361,0.97593,0.82605,0.59792,0.30134,0.87927,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,5115.15,0.43108,0.28402,0.81371,0.96187,0.96823,0.97907,0.82854,0.59043,0.30816,0.87514,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,5170.42,0.42692,0.28155,0.81404,0.96181,0.95889,0.97934,0.82927,0.59092,0.30513,0.87355,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,5225.54,0.42645,0.28012,0.81486,0.954,0.96708,0.97847,0.83038,0.60332,0.30988,0.87504,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,5281.02,0.42602,0.2811,0.81612,0.9676,0.9618,0.97866,0.82909,0.59556,0.31068,0.87164,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,5336.62,0.41968,0.27836,0.81382,0.95821,0.96588,0.97786,0.82863,0.59679,0.30733,0.87686,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,5391.64,0.41491,0.27845,0.81375,0.96505,0.95981,0.97812,0.82817,0.59382,0.31328,0.87127,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,5446.6,0.4199,0.28029,0.81501,0.96226,0.96164,0.9762,0.82677,0.59324,0.31506,0.87402,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,5501.57,0.42256,0.27893,0.81479,0.95907,0.95845,0.97898,0.83009,0.59776,0.31474,0.87669,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,5556.87,0.41979,0.28144,0.81372,0.96375,0.97098,0.97893,0.82555,0.6013,0.31581,0.87672,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,5612.13,0.41915,0.27856,0.81417,0.96397,0.97082,0.98118,0.83055,0.59903,0.29932,0.87875,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,5667.42,0.4127,0.27378,0.81329,0.97156,0.96893,0.97941,0.83187,0.59311,0.29334,0.87423,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,5722.43,0.41458,0.27639,0.81283,0.96451,0.97044,0.979,0.8284,0.59657,0.30461,0.8799,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,5777.57,0.40725,0.26769,0.8102,0.96208,0.96427,0.97706,0.83245,0.58688,0.30687,0.87547,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
